Date-Time,Light,Monitor 2 Spider 1,Monitor 2 Spider 2,Monitor 2 Spider 3,Monitor 2 Spider 4,Monitor 2 Spider 5,Monitor 2 Spider 6,Monitor 2 Spider 7,Monitor 2 Spider 8,Monitor 2 Spider 9,Monitor 2 Spider 10,Monitor 2 Spider 11,Monitor 2 Spider 12,Monitor 2 Spider 13,Monitor 2 Spider 14,Monitor 2 Spider 15,Monitor 2 Spider 16,Monitor 2 Spider 17,Monitor 2 Spider 18,Monitor 2 Spider 19,Monitor 2 Spider 20,Monitor 2 Spider 21,Monitor 2 Spider 22
9/22/2017 0:00,0,15,0,0,0,0,0,8,0,0,48,0,0,0,0,19,0,22,0,0,0,0,0
9/22/2017 0:01,0,0,0,0,0,0,0,3,0,0,40,0,0,0,0,3,0,19,0,1,0,0,0
9/22/2017 0:02,0,0,0,0,0,0,0,6,0,0,51,0,0,0,0,13,0,13,0,19,0,0,0
9/22/2017 0:03,0,2,0,0,0,0,0,7,0,0,53,0,0,0,0,6,0,14,0,3,0,0,0
9/22/2017 0:04,0,3,0,0,0,0,0,8,0,0,27,0,0,0,0,4,0,9,0,8,0,0,0
9/22/2017 0:05,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,12,2,10,0,0,0
9/22/2017 0:06,0,19,0,0,0,0,0,21,0,0,37,0,0,0,0,5,0,33,5,4,0,0,0
9/22/2017 0:07,0,17,0,0,0,0,6,10,0,0,30,0,0,0,0,4,0,6,5,0,0,0,0
9/22/2017 0:08,0,13,0,0,0,0,30,3,0,0,23,0,0,0,0,5,0,20,5,20,0,0,0
9/22/2017 0:09,0,0,0,0,0,0,10,8,0,0,17,0,0,0,0,1,0,6,2,3,0,0,0
9/22/2017 0:10,0,8,0,0,0,0,24,9,0,0,0,0,0,0,0,14,0,15,5,9,0,0,0
9/22/2017 0:11,0,25,0,0,0,0,14,9,0,0,30,0,0,0,0,4,0,0,5,8,0,0,0
9/22/2017 0:12,0,1,0,0,0,0,17,7,0,0,25,0,0,0,0,4,0,39,2,0,0,0,0
9/22/2017 0:13,0,0,0,0,0,0,0,8,0,0,25,0,0,0,0,8,0,27,0,0,0,0,0
9/22/2017 0:14,0,0,0,0,0,0,0,7,0,0,20,0,0,0,0,11,0,22,5,0,0,0,0
9/22/2017 0:15,0,0,0,0,0,0,0,8,0,0,19,0,0,0,0,10,18,9,7,7,0,0,0
9/22/2017 0:16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,4,6,0,0,0,0
9/22/2017 0:17,0,0,0,0,0,0,0,7,0,0,18,0,0,0,0,7,0,9,0,27,0,0,0
9/22/2017 0:18,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,7,0,2,5,27,0,0,0
9/22/2017 0:19,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,6,8,4,11,0,0,0,0
9/22/2017 0:20,0,0,0,0,0,0,1,6,0,0,3,0,0,0,0,13,2,2,3,0,0,0,0
9/22/2017 0:21,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,1,0,9,1,20,0,0,0
9/22/2017 0:22,0,0,0,0,0,0,2,5,0,0,5,0,0,0,5,11,4,0,0,19,0,0,0
9/22/2017 0:23,0,0,0,0,0,0,31,6,0,0,4,0,0,0,6,8,4,17,0,11,0,0,0
9/22/2017 0:24,0,0,0,0,0,0,1,8,0,0,2,0,0,0,0,9,0,0,7,17,0,0,0
9/22/2017 0:25,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,2,6,0,10,7,0,0,0
9/22/2017 0:26,0,0,0,0,0,0,0,14,0,0,0,8,4,0,0,6,7,0,6,2,0,0,0
9/22/2017 0:27,0,1,5,0,0,0,0,5,0,0,12,2,4,0,0,1,3,21,0,0,0,0,0
9/22/2017 0:28,0,4,4,0,0,0,0,9,0,0,2,1,4,0,0,7,5,2,0,0,0,0,0
9/22/2017 0:29,0,0,0,0,0,0,0,6,0,0,11,14,1,0,0,19,3,12,0,0,0,0,0
9/22/2017 0:30,0,0,8,0,0,0,0,9,0,0,1,2,2,0,51,0,4,8,0,1,0,0,0
9/22/2017 0:31,0,0,7,0,0,0,0,7,0,0,0,1,3,0,21,1,4,33,0,11,0,0,0
9/22/2017 0:32,0,0,0,0,0,0,0,9,0,0,11,3,16,0,3,0,7,7,0,2,0,0,0
9/22/2017 0:33,0,0,0,0,0,0,0,7,0,0,4,4,3,0,0,23,7,12,0,4,0,0,0
9/22/2017 0:34,0,0,0,0,0,0,0,6,0,0,5,0,5,0,0,14,0,0,0,1,0,0,0
9/22/2017 0:35,0,0,0,0,0,0,0,17,0,0,0,3,5,0,0,18,0,23,0,21,0,0,0
9/22/2017 0:36,0,0,0,0,0,0,0,9,0,0,12,5,3,0,8,0,0,4,0,6,0,0,0
9/22/2017 0:37,0,0,0,0,0,0,0,11,0,0,0,9,16,0,7,28,0,6,0,8,0,0,0
9/22/2017 0:38,0,0,0,0,0,0,0,12,0,0,0,0,10,0,15,6,0,12,0,7,0,0,0
9/22/2017 0:39,0,0,0,0,0,0,0,7,0,0,2,24,5,0,21,41,13,4,0,0,0,0,0
9/22/2017 0:40,0,0,0,0,0,0,0,13,0,0,9,21,6,0,11,20,4,8,0,0,0,0,0
9/22/2017 0:41,0,0,0,0,0,0,0,4,0,0,0,11,13,0,16,15,0,0,0,0,0,0,0
9/22/2017 0:42,0,0,0,0,0,0,0,22,0,0,6,15,13,0,0,14,5,0,0,5,0,0,0
9/22/2017 0:43,0,0,0,0,0,0,0,7,0,0,5,7,17,0,7,11,10,0,11,11,0,0,0
9/22/2017 0:44,0,0,0,0,0,0,0,13,0,0,4,3,12,0,31,12,5,0,7,6,0,0,0
9/22/2017 0:45,0,0,0,0,0,0,0,4,0,0,2,9,8,0,36,11,4,0,2,9,0,0,0
9/22/2017 0:46,0,0,0,0,0,0,0,4,0,0,2,0,2,0,3,9,22,0,0,0,0,0,0
9/22/2017 0:47,0,0,0,0,0,0,0,8,0,0,7,10,1,0,28,7,0,0,0,0,0,0,0
9/22/2017 0:48,0,0,0,0,0,0,0,5,0,0,0,0,4,0,2,11,4,0,14,29,0,0,0
9/22/2017 0:49,0,0,0,0,0,0,0,10,0,0,0,0,20,0,13,14,3,0,14,7,0,0,0
9/22/2017 0:50,0,0,0,0,0,0,8,12,0,0,7,0,16,0,18,19,13,0,2,37,0,0,0
9/22/2017 0:51,0,0,0,0,0,0,18,4,0,0,10,7,18,0,2,23,6,0,10,6,0,0,0
9/22/2017 0:52,0,0,0,0,0,0,12,17,0,0,5,10,24,0,3,30,0,0,4,1,0,0,0
9/22/2017 0:53,0,0,0,0,0,0,6,13,0,0,2,0,22,0,7,15,6,0,3,0,0,0,0
9/22/2017 0:54,0,0,0,0,0,0,2,7,0,0,1,28,24,0,0,6,0,0,4,9,0,0,0
9/22/2017 0:55,0,0,0,0,0,7,0,9,0,0,0,3,0,0,16,17,5,0,0,17,0,0,0
9/22/2017 0:56,0,0,0,0,0,3,0,5,0,0,11,38,0,0,9,8,4,0,9,23,0,0,0
9/22/2017 0:57,0,0,0,0,0,3,0,8,0,0,1,15,16,0,2,6,6,0,4,1,0,0,0
9/22/2017 0:58,0,0,0,0,0,3,0,6,0,0,0,0,10,0,18,9,4,0,4,15,0,0,0
9/22/2017 0:59,0,0,0,0,0,1,0,7,0,0,6,0,12,0,0,2,0,0,8,0,0,0,0
9/22/2017 1:00,0,0,0,0,0,3,0,8,0,0,7,0,10,0,0,0,5,0,25,0,0,0,0
9/22/2017 1:01,0,0,0,0,0,3,0,11,0,0,0,0,0,0,9,0,9,0,12,0,0,0,0
9/22/2017 1:02,0,0,0,0,0,1,0,10,0,0,4,1,0,0,48,0,19,0,22,0,0,0,0
9/22/2017 1:03,0,0,0,0,0,5,0,6,0,0,6,24,0,0,17,0,0,0,6,0,0,0,0
9/22/2017 1:04,0,0,0,0,0,4,0,7,0,0,3,4,0,0,0,0,21,0,0,0,0,0,0
9/22/2017 1:05,0,0,0,0,0,15,0,4,0,0,0,47,0,0,2,0,12,0,2,0,0,0,0
9/22/2017 1:06,0,0,0,0,0,8,0,8,0,0,9,3,0,0,0,0,22,0,5,0,0,0,0
9/22/2017 1:07,0,0,0,0,0,1,0,15,0,0,6,11,0,0,28,0,9,0,4,0,0,0,0
9/22/2017 1:08,0,0,0,0,0,2,0,8,0,0,5,2,0,0,10,0,0,0,0,0,0,0,0
9/22/2017 1:09,0,0,0,0,0,5,0,7,0,0,2,25,0,0,2,0,40,0,5,0,0,0,0
9/22/2017 1:10,0,0,0,0,0,3,0,18,0,0,0,11,0,0,40,0,0,0,10,0,0,0,0
9/22/2017 1:11,0,0,0,0,0,3,0,14,0,0,0,0,0,0,14,0,15,0,6,0,0,0,0
9/22/2017 1:12,0,0,0,0,0,16,0,3,0,0,0,0,0,0,7,0,3,0,2,0,0,0,0
9/22/2017 1:13,0,0,0,0,0,11,0,9,6,0,5,0,0,0,14,0,0,0,7,0,0,0,0
9/22/2017 1:14,0,0,0,0,2,7,0,12,9,0,12,0,0,0,6,0,8,0,0,0,0,0,0
9/22/2017 1:15,0,0,0,0,7,11,0,8,0,0,1,0,0,0,19,0,6,0,0,0,0,0,0
9/22/2017 1:16,0,0,0,0,6,16,0,10,0,17,0,0,0,0,14,0,0,0,0,0,0,0,0
9/22/2017 1:17,0,0,0,0,2,0,0,10,9,4,0,0,0,0,54,0,30,0,0,0,0,0,0
9/22/2017 1:18,0,0,0,0,5,12,0,7,8,18,0,0,0,0,0,0,4,0,14,0,0,0,0
9/22/2017 1:19,0,0,0,0,5,1,0,9,2,1,0,0,0,0,0,0,0,0,10,0,0,0,0
9/22/2017 1:20,0,0,0,13,3,9,0,5,0,8,9,0,0,0,0,0,9,0,0,0,0,0,0
9/22/2017 1:21,0,0,0,0,2,8,0,11,0,2,5,0,0,0,0,0,6,0,0,0,0,0,0
9/22/2017 1:22,0,0,0,0,1,6,0,15,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0
9/22/2017 1:23,0,0,0,18,2,0,0,10,0,0,2,0,0,0,0,0,13,0,0,5,0,0,0
9/22/2017 1:24,0,0,0,0,5,0,0,13,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0
9/22/2017 1:25,0,0,0,7,2,0,0,11,7,8,7,0,0,0,0,0,0,0,0,9,0,0,0
9/22/2017 1:26,0,0,0,2,5,0,0,8,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0
9/22/2017 1:27,0,0,4,21,1,10,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
9/22/2017 1:28,0,0,3,0,3,12,0,9,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0
9/22/2017 1:29,0,0,0,8,2,17,0,5,18,6,10,0,0,0,0,0,0,0,0,0,0,0,0
9/22/2017 1:30,0,19,0,0,5,5,0,9,9,16,0,0,0,0,0,0,0,0,0,6,0,0,0
9/22/2017 1:31,0,7,0,0,4,2,0,6,0,5,0,0,0,0,0,0,0,0,0,17,0,0,0
9/22/2017 1:32,0,12,0,13,6,8,0,5,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0
9/22/2017 1:33,0,0,0,6,9,3,0,10,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
