Date-Time,Light,Monitor 12 Spider 1,Monitor 12 Spider 2,Monitor 12 Spider 3,Monitor 12 Spider 4,Monitor 12 Spider 5,Monitor 12 Spider 6,Monitor 12 Spider 7,Monitor 12 Spider 8,Monitor 12 Spider 9,Monitor 12 Spider 10,Monitor 12 Spider 11,Monitor 12 Spider 12,Monitor 12 Spider 13,Monitor 12 Spider 14,Monitor 12 Spider 15,Monitor 12 Spider 16,Monitor 12 Spider 17,Monitor 12 Spider 18,Monitor 12 Spider 19,Monitor 12 Spider 20,Monitor 12 Spider 21,Monitor 12 Spider 22,Monitor 12 Spider 23,Monitor 12 Spider 24,Monitor 12 Spider 27,Monitor 12 Spider 29,Monitor 12 Spider 30,Monitor 12 Spider 31,Monitor 12 Spider 32
2017-06-11 00:00:00,0,6,2,0,0,0,0,7,0,0,0,0,0,0,0,21,0,0,1,0,0,2,0,5,1,0,0,7,6,0
2017-06-11 00:01:00,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,2,0,5,3,0,0,5,9,0,7,0,0,0,0,0
2017-06-11 00:02:00,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,6,0,0,0,0,0,1,0
2017-06-11 00:03:00,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,4,0,0,0,0,0
2017-06-11 00:04:00,0,0,20,0,0,0,5,4,0,0,0,0,0,0,0,28,0,8,0,0,0,2,12,0,0,0,0,0,0,0
2017-06-11 00:05:00,0,0,8,0,0,0,0,4,0,0,5,0,0,2,0,3,0,5,2,0,0,6,6,0,0,0,0,0,0,0
2017-06-11 00:06:00,0,0,5,0,0,0,0,6,0,0,5,0,0,0,0,0,0,4,2,0,0,0,2,0,8,0,0,0,0,0
2017-06-11 00:07:00,0,0,7,0,0,0,0,1,0,0,7,0,0,7,0,4,0,0,0,0,0,0,1,0,18,0,0,0,0,0
2017-06-11 00:08:00,0,0,12,0,0,0,0,2,0,0,6,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,14,0,0,0
2017-06-11 00:09:00,0,0,4,0,0,0,0,14,0,0,2,0,0,4,0,8,0,0,4,0,0,0,0,0,0,0,18,0,0,0
2017-06-11 00:10:00,0,0,6,0,0,0,0,3,0,0,3,0,0,4,0,9,0,0,2,0,0,0,6,0,0,0,6,0,15,0
2017-06-11 00:11:00,0,0,6,0,0,0,0,7,0,0,6,0,0,0,0,5,0,26,0,0,0,0,1,0,0,0,8,0,4,0
2017-06-11 00:12:00,0,0,6,0,0,0,0,5,0,0,0,0,0,3,0,11,0,0,0,0,3,0,2,0,0,0,20,0,0,0
2017-06-11 00:13:00,0,0,7,0,0,0,0,1,0,0,2,0,0,7,0,0,0,3,0,0,3,0,2,0,0,0,11,0,19,0
2017-06-11 00:14:00,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,1,0,7,0,0,0,11,0,3,8
2017-06-11 00:15:00,0,0,3,0,0,0,0,2,0,0,0,0,0,13,0,7,0,0,0,0,2,0,3,0,0,0,7,0,9,5
2017-06-11 00:16:00,0,0,6,0,0,0,0,5,0,0,0,0,0,5,0,3,0,0,0,0,7,0,0,0,0,0,13,0,7,3
2017-06-11 00:17:00,0,0,8,0,0,0,0,3,0,0,25,0,0,5,0,6,0,0,0,0,3,0,4,0,0,0,0,0,0,7
2017-06-11 00:18:00,0,0,4,0,0,0,0,11,0,0,37,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,2,0,5,7
2017-06-11 00:19:00,0,0,4,0,0,0,0,0,0,0,21,0,0,0,0,7,0,0,0,0,5,0,5,0,0,0,3,0,5,10
2017-06-11 00:20:00,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,10,0,5,0
2017-06-11 00:21:00,0,0,13,0,4,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,12,0,7,0,0,0,0,0,5,0
2017-06-11 00:22:00,0,0,1,0,1,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,2,0,5,0,2,0,2,0,0,0
2017-06-11 00:23:00,0,0,0,0,7,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,8,0,4,1
2017-06-11 00:24:00,0,0,0,0,3,0,3,0,0,4,2,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,4
2017-06-11 00:25:00,0,0,0,0,5,0,4,6,0,0,10,0,0,4,0,10,0,0,0,0,4,0,0,0,0,0,8,0,2,22
2017-06-11 00:26:00,0,0,0,0,4,0,24,2,0,10,4,0,0,0,3,7,0,0,0,0,4,0,5,0,0,0,10,0,6,6
