ks,period
0.11,30.566666666666674
0.12,30.55
0.13,30.400000000000002
0.14,30.183333333333337
0.15,29.933333333333337
0.16,29.633333333333336
0.16999999999999998,29.316666666666666
0.18,29.0
0.19,28.683333333333337
0.2,28.350000000000005
0.21000000000000002,28.05
0.22,27.733333333333334
0.22999999999999998,27.433333333333337
0.24,27.099999999999998
0.25,26.833333333333332
0.26,26.55
0.27,26.283333333333335
0.28,26.0
0.29,25.733333333333338
0.3,25.46666666666667
0.31,25.233333333333338
0.32,24.96666666666667
0.33,24.733333333333338
0.34,24.500000000000004
0.35,24.26666666666667
0.36,24.05
0.37,23.83333333333333
0.38,23.616666666666664
0.39,23.433333333333337
0.39999999999999997,23.200000000000003
0.41,23.01666666666667
0.42,22.850000000000005
0.43,22.66666666666667
0.44,22.483333333333338
0.45,22.33333333333334
0.46,22.150000000000006
0.47,21.983333333333338
0.48,21.816666666666674
0.49,21.66666666666667
0.5,21.51666666666667
0.51,21.383333333333336
0.52,21.21666666666667
0.53,21.083333333333332
0.54,20.950000000000003
0.55,20.816666666666677
0.56,20.683333333333337
0.5700000000000001,20.55
0.5800000000000001,20.41666666666667
0.59,20.3
0.6,20.183333333333334
0.61,20.066666666666674
0.62,19.950000000000003
0.63,19.85000000000001
0.64,19.733333333333334
0.65,19.63333333333334
0.66,19.533333333333342
0.67,19.41666666666667
0.68,19.300000000000004
0.69,19.200000000000003
0.7,19.13333333333333
0.71,19.01666666666667
0.72,18.900000000000006
0.73,18.850000000000005
0.74,18.750000000000004
0.75,18.65
0.76,18.566666666666666
0.77,18.483333333333338
0.78,18.400000000000006
0.79,18.3
0.8,18.233333333333334
0.81,18.150000000000002
0.82,18.066666666666674
0.83,18.0
0.84,17.933333333333334
0.85,17.849999999999998
0.86,17.766666666666666
0.87,17.700000000000003
0.88,17.616666666666664
0.89,17.550000000000008
0.9,17.48333333333333
0.91,17.433333333333337
0.92,17.35000000000001
0.93,17.283333333333335
0.9400000000000001,17.21666666666667
0.95,17.14999999999999
0.96,17.083333333333343
0.97,17.01666666666667
0.98,16.96666666666667
0.99,16.900000000000006
1.0,16.816666666666666
